ID,Name,Month,Year,Time,Status,Latitude,Longitude,Maximum Wind
AL011851,            UNNAMED,June,1851,2100, HU,28.2N,97.0W,80
AL011852,            UNNAMED,August,1852,1800, HU,31.2N,88.6W,100
AL011854,            UNNAMED,June,1854,1800, HU,26.2N,97.0W,70
AL011855,            UNNAMED,August,1855,1200, HU,22.2N,98.0W,90
AL011856,            UNNAMED,August,1856,1800, HU,30.0N,91.8W,130
AL011858,            UNNAMED,June,1858,1200, HU,19.0N,85.5W,70
AL011859,            UNNAMED,July,1859,1200, HU,21.5N,97.5W,90
AL011860,            UNNAMED,August,1860,2000, HU,31.0N,90.3W,110
AL011861,            UNNAMED,July,1861,1800, HU,37.0N,70.1W,90
AL011863,            UNNAMED,August,1863,1800, HU,42.0N,50.8W,90
AL011864,            UNNAMED,July,1864,1800, HU,39.7N,76.0W,70
AL011866,            UNNAMED,July,1866,1800, HU,28.5N,96.5W,90
AL011867,            UNNAMED,June,1867,1400, HU,32.9N,79.9W,70
AL011868,            UNNAMED,September,1868,1800, HU,45.5N,69.0W,90
AL011869,            UNNAMED,August,1869,1800, HU,43.5N,47.5W,90
AL011870,            UNNAMED,July,1870,1800, HU,30.5N,88.0W,70
AL011875,            UNNAMED,August,1875,1800, HU,43.5N,74.5W,70
AL011876,            UNNAMED,September,1876,1800, HU,43.5N,60.8W,80
AL011879,            UNNAMED,August,1879,1800, HU,43.2N,67.5W,70
AL011882,            UNNAMED,August,1882,1800, HU,45.0N,52.0W,70
AL011883,            UNNAMED,August,1883,1800, HU,49.3N,70.3W,80
AL011884,            UNNAMED,September,1884,1800, HU,43.5N,62.5W,70
AL011885,            UNNAMED,August,1885,1800, HU,49.7N,60.7W,80
AL011886,            UNNAMED,June,1886,1800, HU,29.9N,95.3W,85
AL011888,            UNNAMED,June,1888,1800, HU,28.7N,95.7W,70
AL011889,            UNNAMED,May,1889,1800, HU,33.7N,74.9W,70
AL011891,            UNNAMED,July,1891,2200, HU,29.2N,95.6W,80
AL011893,            UNNAMED,June,1893,1800, HU,44.0N,72.9W,65
AL011896,            UNNAMED,July,1896,1800, HU,30.5N,86.7W,85
AL011897,            UNNAMED,September,1897,1800, HU,46.3N,50.2W,85
AL011898,            UNNAMED,August,1898,2300, HU,29.8N,84.9W,70
AL011900,            UNNAMED,September,1900,1800, HU,31.0N,96.9W,125
AL011903,            UNNAMED,July,1903,1800, HU,37.9N,71.6W,70
AL011904,            UNNAMED,June,1904,1800, HU,19.4N,78.5W,70
AL011908,            UNNAMED,March,1908,1800, HU,21.6N,63.7W,85
