Year,Category,Name,Month,Time,Status,Latitude,Longitude,Maximum Wind
1851,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1851,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1851,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1852,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1852,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1852,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1852,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1852,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1852,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1853,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1853,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1853,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1853,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1853,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1853,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1854,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1854,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1854,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1854,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1854,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1854,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1855,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1855,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1855,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1855,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1855,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1855,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1856,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1856,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1856,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1856,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1856,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1856,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1857,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1857,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1858,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1858,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1859,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1859,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1859,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1860,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1860,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1860,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
