Month,Cat,Name,Year,Time,Status,Latitude,Longitude,Maximum Wind
August,TS,42.0,42.0,42.0,42.0,42.0,42.0,42.0
August,1,72.0,72.0,72.0,72.0,72.0,72.0,72.0
August,2,45.0,45.0,45.0,45.0,45.0,45.0,45.0
August,3,15.0,15.0,15.0,15.0,15.0,15.0,15.0
August,4,9.0,9.0,9.0,9.0,9.0,9.0,9.0
August,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
December,TS,3.0,3.0,3.0,3.0,3.0,3.0,3.0
December,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
December,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
December,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
December,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
December,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
January,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
January,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July,TS,18.0,18.0,18.0,18.0,18.0,18.0,18.0
July,1,26.0,26.0,26.0,26.0,26.0,26.0,26.0
July,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0
July,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
July,4,2.0,2.0,2.0,2.0,2.0,2.0,2.0
July,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
June,TS,13.0,13.0,13.0,13.0,13.0,13.0,13.0
June,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0
June,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
June,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
June,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
June,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
March,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
March,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
March,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
March,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
March,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
March,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
May,TS,3.0,3.0,3.0,3.0,3.0,3.0,3.0
May,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
May,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
May,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
May,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
May,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
November,TS,14.0,14.0,14.0,14.0,14.0,14.0,14.0
November,1,20.0,20.0,20.0,20.0,20.0,20.0,20.0
November,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0
November,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0
November,4,2.0,2.0,2.0,2.0,2.0,2.0,2.0
November,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
October,TS,44.0,44.0,44.0,44.0,44.0,44.0,44.0
October,1,86.0,86.0,86.0,86.0,86.0,86.0,86.0
October,2,24.0,24.0,24.0,24.0,24.0,24.0,24.0
October,3,12.0,12.0,12.0,12.0,12.0,12.0,12.0
October,4,6.0,6.0,6.0,6.0,6.0,6.0,6.0
October,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
September,TS,71.0,71.0,71.0,71.0,71.0,71.0,71.0
September,1,149.0,149.0,149.0,149.0,149.0,149.0,149.0
September,2,80.0,80.0,80.0,80.0,80.0,80.0,80.0
September,3,56.0,56.0,56.0,56.0,56.0,56.0,56.0
September,4,37.0,37.0,37.0,37.0,37.0,37.0,37.0
September,5,2.0,2.0,2.0,2.0,2.0,2.0,2.0
