,ID,Name,Date,Time,Status,Latitude,Longitude,Maximum Wind
0,AL011851,            UNNAMED,1851-06-25,0, HU,28.0N,94.8W,80
1,AL011851,            UNNAMED,1851-06-25,600, HU,28.0N,95.4W,80
2,AL011851,            UNNAMED,1851-06-25,1200, HU,28.0N,96.0W,80
3,AL011851,            UNNAMED,1851-06-25,1800, HU,28.1N,96.5W,80
4,AL011851,            UNNAMED,1851-06-25,2100, HU,28.2N,96.8W,80
5,AL011851,            UNNAMED,1851-06-26,0, HU,28.2N,97.0W,70
6,AL011851,            UNNAMED,1851-06-26,600, TS,28.3N,97.6W,60
7,AL011851,            UNNAMED,1851-06-26,1200, TS,28.4N,98.3W,60
8,AL011851,            UNNAMED,1851-06-26,1800, TS,28.6N,98.9W,50
9,AL011851,            UNNAMED,1851-06-27,0, TS,29.0N,99.4W,50
10,AL011851,            UNNAMED,1851-06-27,600, TS,29.5N,99.8W,40
11,AL011851,            UNNAMED,1851-06-27,1200, TS,30.0N,100.0W,40
12,AL011851,            UNNAMED,1851-06-27,1800, TS,30.5N,100.1W,40
13,AL011851,            UNNAMED,1851-06-28,0, TS,31.0N,100.2W,40
14,AL021851,            UNNAMED,1851-07-05,1200, HU,22.2N,97.6W,80
15,AL031851,            UNNAMED,1851-07-10,1200, TS,12.0N,60.0W,50
16,AL041851,            UNNAMED,1851-08-16,0, TS,13.4N,48.0W,40
17,AL041851,            UNNAMED,1851-08-16,600, TS,13.7N,49.5W,40
18,AL041851,            UNNAMED,1851-08-16,1200, TS,14.0N,51.0W,50
19,AL041851,            UNNAMED,1851-08-16,1800, TS,14.4N,52.8W,50
20,AL041851,            UNNAMED,1851-08-17,0, TS,14.9N,54.6W,60
21,AL041851,            UNNAMED,1851-08-17,600, TS,15.4N,56.5W,60
22,AL041851,            UNNAMED,1851-08-17,1200, HU,15.9N,58.5W,70
23,AL041851,            UNNAMED,1851-08-17,1800, HU,16.1N,60.4W,70
24,AL041851,            UNNAMED,1851-08-18,0, HU,16.6N,62.5W,80
25,AL041851,            UNNAMED,1851-08-18,600, HU,16.9N,64.1W,80
26,AL041851,            UNNAMED,1851-08-18,1200, HU,17.2N,66.0W,90
27,AL041851,            UNNAMED,1851-08-18,1800, HU,17.6N,67.6W,90
28,AL041851,            UNNAMED,1851-08-19,0, HU,18.0N,69.3W,90
29,AL041851,            UNNAMED,1851-08-19,600, HU,18.4N,71.1W,70
30,AL041851,            UNNAMED,1851-08-19,1200, TS,18.9N,72.6W,60
31,AL041851,            UNNAMED,1851-08-19,1800, TS,19.4N,74.3W,60
32,AL041851,            UNNAMED,1851-08-20,0, HU,19.9N,75.9W,70
33,AL041851,            UNNAMED,1851-08-20,600, HU,20.5N,77.6W,70
